type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,CHOL,sup,0,0,gel,465.847,164.417,17.614,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,0.915,194.904,18.532,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,83.824,159.863,21.322,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,130.119,97.552,19.109,0.707107,0.532395,0.465355,-0.0
lipid_HEAD,CHOL,sup,1,0,gel,5.146,263.797,19.881,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,412.302,130.006,19.078,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,368.123,400.525,15.681,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,200.211,246.722,16.312,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,453.088,263.073,19.991,0.707107,0.648372,-0.282158,0.0
lipid_HEAD,CHOL,sup,0,0,gel,438.662,494.019,19.822,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,32.299,324.012,18.433,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,422.201,295.363,17.219,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,103.837,39.344,17.45,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,447.172,336.365,16.773,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,197.44,35.043,16.512,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,466.103,71.996,19.898,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,292.873,171.913,21.307,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,412.875,181.396,19.027,0.707107,0.538201,-0.458628,0.0
lipid_HEAD,CHOL,sup,1,0,gel,340.635,287.842,19.925,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,432.839,188.744,19.852,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,162.691,176.53,16.919,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,428.871,217.339,19.887,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,397.095,200.013,20.653,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,456.176,171.961,17.871,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,153.105,232.094,14.645,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,51.816,264.524,18.321,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,311.595,210.445,22.394,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,490.823,428.895,22.414,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,354.884,353.043,17.525,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,357.395,194.397,20.852,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,9.367,52.094,20.712,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,138.003,165.915,18.044,0.707107,0.65614,-0.263592,0.0
lipid_HEAD,CHOL,sup,0,0,gel,5.503,12.317,16.498,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,304.78,124.254,16.891,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,215.156,497.906,14.081,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,186.974,128.711,13.712,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,400.232,268.233,20.23,0.707107,0.587422,0.393619,-0.0
lipid_HEAD,CHOL,sup,1,0,gel,141.379,310.434,14.754,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,486.394,254.005,20.986,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,0,0,gel,455.277,0.139,19.925,0.0,1.0,0.0,0.0
lipid_HEAD,CHOL,sup,1,0,gel,281.212,322.579,19.863,0.0,1.0,0.0,0.0
