type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,POPC,sup,0,0,fluid,54.523,370.757,23.854,0.064922,-0.989078,0.132322,0.0
lipid_HEAD,POPC,sup,0,0,fluid,77.511,287.947,22.266,0.031068,0.908419,0.416905,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,218.507,365.04,27.195,0.042296,-0.127165,-0.990979,0.0
lipid_HEAD,POPC,sup,0,0,fluid,83.332,136.986,16.5,0.040925,-0.250459,-0.967262,0.0
lipid_HEAD,POPC,sup,0,0,fluid,287.399,399.935,27.294,0.357418,-0.84531,0.397118,0.0
lipid_HEAD,POPC,sup,0,0,fluid,229.481,110.258,23.237,0.243062,0.382456,0.89143,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,328.29,6.773,23.935,0.055499,-0.965293,-0.255205,0.0
lipid_HEAD,POPC,sup,0,0,fluid,400.827,353.703,22.143,0.017378,-0.591277,-0.806281,0.0
lipid_HEAD,POPC,sup,0,0,fluid,211.073,476.443,28.93,0.058475,0.866351,-0.496001,0.0
lipid_HEAD,POPC,sup,0,0,fluid,131.76,352.388,23.034,0.049796,0.964543,-0.259184,0.0
lipid_HEAD,POPC,sup,0,0,fluid,182.193,219.475,21.32,0.027927,0.278008,0.960173,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,410.714,128.76,18.691,0.064699,-0.772011,-0.632308,0.0
lipid_HEAD,POPC,sup,0,0,fluid,0.619,279.99,21.519,0.039449,-0.307954,-0.950583,0.0
lipid_HEAD,POPC,sup,0,0,fluid,3.074,225.583,19.179,0.056105,0.975425,0.213068,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,484.177,359.873,22.914,0.017019,0.133427,-0.990912,0.0
lipid_HEAD,POPC,sup,0,0,fluid,410.559,274.388,18.687,0.008839,0.961246,0.275551,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,388.583,243.92,18.471,0.030149,0.664699,-0.746503,0.0
lipid_HEAD,POPC,sup,0,0,fluid,70.622,148.028,17.722,0.022582,0.909021,0.416138,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,184.318,201.039,21.742,0.013118,-0.51455,-0.85736,0.0
lipid_HEAD,POPC,sup,0,0,fluid,475.044,241.434,17.821,0.025822,-0.813307,0.581261,0.0
lipid_HEAD,POPC,sup,0,0,fluid,297.213,5.918,27.313,0.05743,-0.973563,0.221079,0.0
