lipid_id,lipid_type,leaflet,bead_type,x,y,z,order_param,in_raft,is_pip,phase
0,POPC,sup,HEAD,54.523,370.757,23.854,0.6083,0,0,fluid
0,POPC,sup,GLYC,54.584,371.211,20.354,0.6083,0,0,fluid
0,POPC,sup,TAIL1_0,55.343,372.007,18.354,0.6083,0,0,fluid
0,POPC,sup,TAIL1_1,55.9,372.712,16.26,0.6083,0,0,fluid
0,POPC,sup,TAIL1_2,56.083,373.942,14.165,0.6083,0,0,fluid
0,POPC,sup,TAIL1_3,55.894,374.018,12.071,0.6083,0,0,fluid
0,POPC,sup,TAIL1_4,56.062,374.464,9.976,0.6083,0,0,fluid
0,POPC,sup,TAIL1_5,56.199,375.298,7.882,0.6083,0,0,fluid
0,POPC,sup,TAIL1_6,56.889,375.275,5.787,0.6083,0,0,fluid
0,POPC,sup,TAIL1_7,58.147,375.306,3.693,0.6083,0,0,fluid
0,POPC,sup,TAIL1_8,59.58,376.247,1.599,0.6083,0,0,fluid
0,POPC,sup,TAIL1_9,61.206,377.014,-0.496,0.6083,0,0,fluid
0,POPC,sup,TAIL2_0,54.061,372.179,18.354,0.6083,0,0,fluid
0,POPC,sup,TAIL2_1,53.508,373.28,16.26,0.6083,0,0,fluid
0,POPC,sup,TAIL2_2,52.462,373.863,14.165,0.6083,0,0,fluid
0,POPC,sup,TAIL2_3,51.882,374.762,12.071,0.6083,0,0,fluid
0,POPC,sup,TAIL2_4,50.494,374.791,9.976,0.6083,0,0,fluid
0,POPC,sup,TAIL2_5,48.522,374.441,7.882,0.6083,0,0,fluid
0,POPC,sup,TAIL2_6,46.849,375.426,5.787,0.6083,0,0,fluid
0,POPC,sup,TAIL2_7,46.383,376.613,3.693,0.6083,0,0,fluid
0,POPC,sup,TAIL2_8,45.948,378.306,1.599,0.6083,0,0,fluid
0,POPC,sup,TAIL2_9,44.41,379.508,-0.496,0.6083,0,0,fluid
1,POPC,sup,HEAD,77.511,287.947,22.266,0.8567,0,0,fluid
1,POPC,sup,GLYC,77.602,287.749,18.766,0.8567,0,0,fluid
1,POPC,sup,TAIL1_0,77.386,286.671,16.766,0.8567,0,0,fluid
1,POPC,sup,TAIL1_1,77.554,286.923,14.671,0.8567,0,0,fluid
1,POPC,sup,TAIL1_2,77.67,286.882,12.577,0.8567,0,0,fluid
1,POPC,sup,TAIL1_3,77.454,286.003,10.482,0.8567,0,0,fluid
1,POPC,sup,TAIL1_4,77.561,285.901,8.388,0.8567,0,0,fluid
1,POPC,sup,TAIL1_5,77.832,286.123,6.293,0.8567,0,0,fluid
1,POPC,sup,TAIL1_6,78.023,285.481,4.199,0.8567,0,0,fluid
1,POPC,sup,TAIL1_7,77.88,284.54,2.105,0.8567,0,0,fluid
1,POPC,sup,TAIL1_8,77.994,284.02,0.01,0.8567,0,0,fluid
1,POPC,sup,TAIL1_9,77.524,282.884,-2.084,0.8567,0,0,fluid
1,POPC,sup,TAIL2_0,78.561,287.21,16.766,0.8567,0,0,fluid
1,POPC,sup,TAIL2_1,78.509,286.878,14.671,0.8567,0,0,fluid
1,POPC,sup,TAIL2_2,79.01,286.089,12.577,0.8567,0,0,fluid
1,POPC,sup,TAIL2_3,79.58,285.858,10.482,0.8567,0,0,fluid
1,POPC,sup,TAIL2_4,79.724,286.001,8.388,0.8567,0,0,fluid
1,POPC,sup,TAIL2_5,81.922,288.062,6.293,0.8567,0,0,fluid
1,POPC,sup,TAIL2_6,82.15,288.858,3.975,0.8567,0,0,fluid
1,POPC,sup,TAIL2_7,81.706,288.774,1.509,0.8567,0,0,fluid
1,POPC,sup,TAIL2_8,81.787,288.723,-0.956,0.8567,0,0,fluid
1,POPC,sup,TAIL2_9,82.283,288.658,-3.421,0.8567,0,0,fluid
2,POPC,sup,HEAD,218.507,365.04,27.195,0.7569,0,0,fluid
2,POPC,sup,GLYC,218.212,365.078,23.695,0.7569,0,0,fluid
2,POPC,sup,TAIL1_0,217.412,365.833,21.695,0.7569,0,0,fluid
2,POPC,sup,TAIL1_1,217.239,365.817,19.6,0.7569,0,0,fluid
2,POPC,sup,TAIL1_2,216.785,366.663,17.506,0.7569,0,0,fluid
2,POPC,sup,TAIL1_3,216.369,367.181,15.411,0.7569,0,0,fluid
2,POPC,sup,TAIL1_4,216.69,367.065,13.317,0.7569,0,0,fluid
2,POPC,sup,TAIL1_5,216.582,367.477,11.222,0.7569,0,0,fluid
2,POPC,sup,TAIL1_6,216.621,369.612,9.128,0.7569,0,0,fluid
2,POPC,sup,TAIL1_7,216.591,369.704,7.033,0.7569,0,0,fluid
2,POPC,sup,TAIL1_8,216.228,370.317,4.939,0.7569,0,0,fluid
2,POPC,sup,TAIL1_9,215.256,370.533,2.845,0.7569,0,0,fluid
2,POPC,sup,TAIL2_0,217.247,364.55,21.695,0.7569,0,0,fluid
2,POPC,sup,TAIL2_1,215.947,363.921,19.6,0.7569,0,0,fluid
2,POPC,sup,TAIL2_2,215.486,363.574,17.506,0.7569,0,0,fluid
2,POPC,sup,TAIL2_3,215.144,363.175,15.411,0.7569,0,0,fluid
2,POPC,sup,TAIL2_4,214.455,362.321,13.317,0.7569,0,0,fluid
2,POPC,sup,TAIL2_5,214.82,360.175,11.222,0.7569,0,0,fluid
2,POPC,sup,TAIL2_6,214.782,358.825,9.128,0.7569,0,0,fluid
2,POPC,sup,TAIL2_7,214.344,358.518,6.774,0.7569,0,0,fluid
2,POPC,sup,TAIL2_8,213.317,358.479,4.357,0.7569,0,0,fluid
2,POPC,sup,TAIL2_9,211.623,357.452,1.94,0.7569,0,0,fluid
3,POPC,sup,HEAD,83.332,136.986,16.5,0.754,0,0,fluid
3,POPC,sup,GLYC,83.054,137.058,13.0,0.754,0,0,fluid
3,POPC,sup,TAIL1_0,82.355,137.907,11.0,0.754,0,0,fluid
3,POPC,sup,TAIL1_1,81.742,138.619,8.905,0.754,0,0,fluid
3,POPC,sup,TAIL1_2,82.198,138.86,6.811,0.754,0,0,fluid
3,POPC,sup,TAIL1_3,81.872,139.464,4.716,0.754,0,0,fluid
3,POPC,sup,TAIL1_4,81.843,140.931,2.622,0.754,0,0,fluid
3,POPC,sup,TAIL1_5,82.202,141.963,0.527,0.754,0,0,fluid
3,POPC,sup,TAIL1_6,82.395,142.523,-1.567,0.754,0,0,fluid
3,POPC,sup,TAIL1_7,82.179,142.967,-3.662,0.754,0,0,fluid
3,POPC,sup,TAIL1_8,81.649,143.398,-5.756,0.754,0,0,fluid
3,POPC,sup,TAIL1_9,82.086,143.633,-7.85,0.754,0,0,fluid
3,POPC,sup,TAIL2_0,82.031,136.655,11.0,0.754,0,0,fluid
3,POPC,sup,TAIL2_1,82.52,135.901,8.905,0.754,0,0,fluid
3,POPC,sup,TAIL2_2,82.435,135.475,6.811,0.754,0,0,fluid
3,POPC,sup,TAIL2_3,80.583,135.04,4.716,0.754,0,0,fluid
3,POPC,sup,TAIL2_4,78.881,134.047,2.622,0.754,0,0,fluid
3,POPC,sup,TAIL2_5,78.633,132.76,0.527,0.754,0,0,fluid
3,POPC,sup,TAIL2_6,78.848,132.12,-1.567,0.754,0,0,fluid
3,POPC,sup,TAIL2_7,77.755,131.577,-3.968,0.754,0,0,fluid
3,POPC,sup,TAIL2_8,76.972,131.979,-6.392,0.754,0,0,fluid
3,POPC,sup,TAIL2_9,75.365,132.322,-8.815,0.754,0,0,fluid
4,POPC,sup,HEAD,287.399,399.935,27.294,0.795,0,0,fluid
4,POPC,sup,GLYC,288.734,402.775,23.794,0.795,0,0,fluid
4,POPC,sup,TAIL1_0,287.71,402.372,21.794,0.795,0,0,fluid
4,POPC,sup,TAIL1_1,287.721,402.249,19.7,0.795,0,0,fluid
4,POPC,sup,TAIL1_2,287.365,402.144,17.605,0.795,0,0,fluid
4,POPC,sup,TAIL1_3,285.844,402.277,15.511,0.795,0,0,fluid
4,POPC,sup,TAIL1_4,285.303,403.007,13.417,0.795,0,0,fluid
4,POPC,sup,TAIL1_5,283.928,402.937,11.322,0.795,0,0,fluid
4,POPC,sup,TAIL1_6,283.456,403.001,9.228,0.795,0,0,fluid
4,POPC,sup,TAIL1_7,283.297,402.974,7.133,0.795,0,0,fluid
4,POPC,sup,TAIL1_8,283.781,402.557,5.039,0.795,0,0,fluid
4,POPC,sup,TAIL1_9,283.751,402.796,2.944,0.795,0,0,fluid
4,POPC,sup,TAIL2_0,288.802,401.678,21.794,0.795,0,0,fluid
4,POPC,sup,TAIL2_1,288.957,401.508,19.7,0.795,0,0,fluid
4,POPC,sup,TAIL2_2,289.11,400.841,17.605,0.795,0,0,fluid
4,POPC,sup,TAIL2_3,288.913,400.448,15.511,0.795,0,0,fluid
4,POPC,sup,TAIL2_4,290.678,400.175,13.417,0.795,0,0,fluid
4,POPC,sup,TAIL2_5,292.711,399.102,11.321,0.795,0,0,fluid
4,POPC,sup,TAIL2_6,293.676,398.239,8.826,0.795,0,0,fluid
4,POPC,sup,TAIL2_7,293.31,397.286,6.332,0.795,0,0,fluid
4,POPC,sup,TAIL2_8,293.38,396.321,3.837,0.795,0,0,fluid
4,POPC,sup,TAIL2_9,292.553,395.643,1.342,0.795,0,0,fluid
5,POPC,sup,HEAD,229.481,110.258,23.237,0.8024,0,0,fluid
5,POPC,sup,GLYC,231.201,109.52,19.737,0.8024,0,0,fluid
5,POPC,sup,TAIL1_0,230.282,110.124,17.737,0.8024,0,0,fluid
5,POPC,sup,TAIL1_1,229.708,109.485,15.643,0.8024,0,0,fluid
5,POPC,sup,TAIL1_2,229.774,111.104,13.548,0.8024,0,0,fluid
5,POPC,sup,TAIL1_3,229.64,111.297,11.454,0.8024,0,0,fluid
5,POPC,sup,TAIL1_4,229.309,112.311,9.359,0.8024,0,0,fluid
5,POPC,sup,TAIL1_5,229.505,112.905,7.265,0.8024,0,0,fluid
5,POPC,sup,TAIL1_6,229.096,112.532,5.171,0.8024,0,0,fluid
5,POPC,sup,TAIL1_7,228.288,112.222,3.076,0.8024,0,0,fluid
5,POPC,sup,TAIL1_8,227.965,111.841,0.982,0.8024,0,0,fluid
5,POPC,sup,TAIL1_9,228.746,112.209,-1.113,0.8024,0,0,fluid
5,POPC,sup,TAIL2_0,230.343,108.833,17.737,0.8024,0,0,fluid
5,POPC,sup,TAIL2_1,230.218,109.179,15.643,0.8024,0,0,fluid
5,POPC,sup,TAIL2_2,230.98,109.531,13.548,0.8024,0,0,fluid
5,POPC,sup,TAIL2_3,230.969,108.873,11.454,0.8024,0,0,fluid
5,POPC,sup,TAIL2_4,231.062,107.516,9.359,0.8024,0,0,fluid
5,POPC,sup,TAIL2_5,233.23,107.042,7.246,0.8024,0,0,fluid
5,POPC,sup,TAIL2_6,234.726,106.068,4.748,0.8024,0,0,fluid
5,POPC,sup,TAIL2_7,234.799,105.809,2.25,0.8024,0,0,fluid
5,POPC,sup,TAIL2_8,234.645,105.786,-0.248,0.8024,0,0,fluid
5,POPC,sup,TAIL2_9,235.11,105.558,-2.747,0.8024,0,0,fluid
6,POPC,sup,HEAD,328.29,6.773,23.935,0.6499,0,0,fluid
6,POPC,sup,GLYC,328.19,7.151,20.435,0.6499,0,0,fluid
6,POPC,sup,TAIL1_0,328.588,8.176,18.435,0.6499,0,0,fluid
6,POPC,sup,TAIL1_1,328.165,8.606,16.341,0.6499,0,0,fluid
6,POPC,sup,TAIL1_2,328.374,9.032,14.246,0.6499,0,0,fluid
6,POPC,sup,TAIL1_3,328.877,10.558,12.152,0.6499,0,0,fluid
6,POPC,sup,TAIL1_4,329.61,12.366,10.057,0.6499,0,0,fluid
6,POPC,sup,TAIL1_5,330.969,13.732,7.963,0.6499,0,0,fluid
6,POPC,sup,TAIL1_6,331.278,14.094,5.868,0.6499,0,0,fluid
6,POPC,sup,TAIL1_7,332.033,14.233,3.774,0.6499,0,0,fluid
6,POPC,sup,TAIL1_8,333.04,15.762,1.679,0.6499,0,0,fluid
6,POPC,sup,TAIL1_9,332.879,15.937,-0.415,0.6499,0,0,fluid
6,POPC,sup,TAIL2_0,327.338,7.846,18.435,0.6499,0,0,fluid
6,POPC,sup,TAIL2_1,326.293,8.801,16.341,0.6499,0,0,fluid
6,POPC,sup,TAIL2_2,326.838,9.644,14.246,0.6499,0,0,fluid
6,POPC,sup,TAIL2_3,326.536,9.832,12.152,0.6499,0,0,fluid
6,POPC,sup,TAIL2_4,324.521,9.628,10.057,0.6499,0,0,fluid
6,POPC,sup,TAIL2_5,323.244,8.205,7.963,0.6499,0,0,fluid
6,POPC,sup,TAIL2_6,322.281,7.574,5.868,0.6499,0,0,fluid
6,POPC,sup,TAIL2_7,320.883,8.301,3.774,0.6499,0,0,fluid
6,POPC,sup,TAIL2_8,319.965,8.722,1.679,0.6499,0,0,fluid
6,POPC,sup,TAIL2_9,319.137,9.607,-0.62,0.6499,0,0,fluid
7,POPC,sup,HEAD,400.827,353.703,22.143,0.8335,0,0,fluid
7,POPC,sup,GLYC,400.729,353.775,18.643,0.8335,0,0,fluid
7,POPC,sup,TAIL1_0,400.393,354.823,16.643,0.8335,0,0,fluid
7,POPC,sup,TAIL1_1,400.12,354.629,14.548,0.8335,0,0,fluid
7,POPC,sup,TAIL1_2,400.391,354.745,12.454,0.8335,0,0,fluid
7,POPC,sup,TAIL1_3,400.912,354.953,10.36,0.8335,0,0,fluid
7,POPC,sup,TAIL1_4,400.088,356.69,8.265,0.8335,0,0,fluid
7,POPC,sup,TAIL1_5,400.569,356.231,6.171,0.8335,0,0,fluid
7,POPC,sup,TAIL1_6,400.844,356.535,4.076,0.8335,0,0,fluid
7,POPC,sup,TAIL1_7,401.332,356.501,1.982,0.8335,0,0,fluid
7,POPC,sup,TAIL1_8,400.978,355.559,-0.113,0.8335,0,0,fluid
7,POPC,sup,TAIL1_9,401.265,356.149,-2.207,0.8335,0,0,fluid
7,POPC,sup,TAIL2_0,399.629,353.78,16.643,0.8335,0,0,fluid
7,POPC,sup,TAIL2_1,399.565,354.01,14.548,0.8335,0,0,fluid
7,POPC,sup,TAIL2_2,398.838,353.736,12.454,0.8335,0,0,fluid
7,POPC,sup,TAIL2_3,398.827,353.049,10.36,0.8335,0,0,fluid
7,POPC,sup,TAIL2_4,398.618,351.879,8.265,0.8335,0,0,fluid
7,POPC,sup,TAIL2_5,398.388,349.957,6.128,0.8335,0,0,fluid
7,POPC,sup,TAIL2_6,398.014,349.645,3.625,0.8335,0,0,fluid
7,POPC,sup,TAIL2_7,397.473,349.297,1.122,0.8335,0,0,fluid
7,POPC,sup,TAIL2_8,396.764,349.821,-1.381,0.8335,0,0,fluid
7,POPC,sup,TAIL2_9,397.143,348.948,-3.884,0.8335,0,0,fluid
8,POPC,sup,HEAD,211.073,476.443,28.93,0.7088,0,0,fluid
8,POPC,sup,GLYC,210.869,476.086,25.43,0.7088,0,0,fluid
