lipid_id,lipid_type,leaflet,bead_type,x,y,z,order_param,in_raft,is_pip,phase
0,POPC,sup,HEAD,148.583,222.667,25.465,0.8169,0,0,fluid
0,POPC,sup,GLYC,148.511,222.717,21.965,0.8169,0,0,fluid
0,POPC,sup,TAIL1_0,148.874,221.678,19.965,0.8169,0,0,fluid
0,POPC,sup,TAIL1_1,149.065,221.686,17.871,0.8169,0,0,fluid
0,POPC,sup,TAIL1_2,149.23,221.762,15.776,0.8169,0,0,fluid
0,POPC,sup,TAIL1_3,149.238,222.011,13.682,0.8169,0,0,fluid
0,POPC,sup,TAIL1_4,148.897,221.261,11.588,0.8169,0,0,fluid
0,POPC,sup,TAIL1_5,148.645,221.77,9.493,0.8169,0,0,fluid
0,POPC,sup,TAIL1_6,147.978,221.072,7.399,0.8169,0,0,fluid
0,POPC,sup,TAIL1_7,147.984,220.736,5.304,0.8169,0,0,fluid
0,POPC,sup,TAIL1_8,147.942,220.88,3.21,0.8169,0,0,fluid
0,POPC,sup,TAIL1_9,147.818,221.463,1.115,0.8169,0,0,fluid
0,POPC,sup,TAIL2_0,149.61,222.742,19.965,0.8169,0,0,fluid
0,POPC,sup,TAIL2_1,149.844,222.006,17.871,0.8169,0,0,fluid
0,POPC,sup,TAIL2_2,150.694,222.484,15.776,0.8169,0,0,fluid
0,POPC,sup,TAIL2_3,151.331,222.579,13.682,0.8169,0,0,fluid
0,POPC,sup,TAIL2_4,152.923,224.38,11.588,0.8169,0,0,fluid
0,POPC,sup,TAIL2_5,153.162,226.558,9.409,0.8169,0,0,fluid
0,POPC,sup,TAIL2_6,153.513,228.853,6.898,0.8169,0,0,fluid
0,POPC,sup,TAIL2_7,153.458,228.496,4.387,0.8169,0,0,fluid
0,POPC,sup,TAIL2_8,153.356,228.876,1.875,0.8169,0,0,fluid
0,POPC,sup,TAIL2_9,153.511,228.354,-0.636,0.8169,0,0,fluid
1,POPC,sup,HEAD,257.006,419.559,20.251,0.6837,0,0,fluid
1,POPC,sup,GLYC,256.662,419.735,16.751,0.6837,0,0,fluid
1,POPC,sup,TAIL1_0,257.161,418.754,14.751,0.6837,0,0,fluid
1,POPC,sup,TAIL1_1,257.366,419.454,12.656,0.6837,0,0,fluid
1,POPC,sup,TAIL1_2,257.988,418.666,10.562,0.6837,0,0,fluid
1,POPC,sup,TAIL1_3,258.387,417.733,8.467,0.6837,0,0,fluid
1,POPC,sup,TAIL1_4,258.484,417.408,6.373,0.6837,0,0,fluid
1,POPC,sup,TAIL1_5,258.174,415.963,4.279,0.6837,0,0,fluid
1,POPC,sup,TAIL1_6,257.885,415.067,2.184,0.6837,0,0,fluid
1,POPC,sup,TAIL1_7,257.949,414.458,0.09,0.6837,0,0,fluid
1,POPC,sup,TAIL1_8,258.859,414.077,-2.005,0.6837,0,0,fluid
1,POPC,sup,TAIL1_9,258.021,413.85,-4.099,0.6837,0,0,fluid
1,POPC,sup,TAIL2_0,257.749,419.906,14.751,0.6837,0,0,fluid
1,POPC,sup,TAIL2_1,258.457,419.527,12.656,0.6837,0,0,fluid
1,POPC,sup,TAIL2_2,259.25,420.346,10.562,0.6837,0,0,fluid
1,POPC,sup,TAIL2_3,260.157,420.568,8.467,0.6837,0,0,fluid
1,POPC,sup,TAIL2_4,261.491,423.427,6.373,0.6837,0,0,fluid
1,POPC,sup,TAIL2_5,261.198,425.642,4.279,0.6837,0,0,fluid
1,POPC,sup,TAIL2_6,262.047,426.637,2.184,0.6837,0,0,fluid
1,POPC,sup,TAIL2_7,262.35,427.215,0.09,0.6837,0,0,fluid
1,POPC,sup,TAIL2_8,263.975,428.389,-2.005,0.6837,0,0,fluid
1,POPC,sup,TAIL2_9,264.492,428.84,-4.338,0.6837,0,0,fluid
2,POPC,sup,HEAD,297.12,154.758,16.058,0.7997,0,0,fluid
2,POPC,sup,GLYC,297.29,154.838,12.558,0.7997,0,0,fluid
2,POPC,sup,TAIL1_0,296.209,155.042,10.558,0.7997,0,0,fluid
2,POPC,sup,TAIL1_1,295.341,155.187,8.464,0.7997,0,0,fluid
